ARTIST,SONG,TABS,TUNING,CAPO,CHORDS,TECHNIQUE
3 Doors Down,Here Without You,https://danielchaveztutorials.com/tabs/here-without-you,Half-Step Down,,Bm | A | G,Picking/Strumming
3 Doors Down,Kryptonite,https://danielchaveztutorials.com/tabs/kryptonite,Standard,,Bm | A | G,Picking/Strumming
Alice In Chains,Brother,https://danielchaveztutorials.com/tabs/brother,Half-Step Down,N/A,,
Andy y Lucas,Tanto La Queria,https://danielchaveztutorials.com/tabs/tanto-la-queria,Standard,3rd Fret,G | Cadd9 | D | Am7 | Bm7,Finger-picking/Strumming
Anti-Flag,Welcome to 1984  ,https://danielchaveztutorials.com/tabs/welcome-to-1984,Standard,N/A,Am | C | F | G,Strumming
Avicci,Wake Me Up,https://danielchaveztutorials.com/tabs/wake-me-up,Standard,2nd Fret,Am | F | C/G | G | E,Strumming
Bayker Blankenship,Jailbreak (feat. Waylon Wyatt),https://danielchaveztutorials.com/tabs/jailbreak,Standard,3rd Fret,Em | G | D | Cadd9,Strumming/Legato
Bayker Blankenship,Maxed Out,https://danielchaveztutorials.com/tabs/maxed-out,Standard,3rd Fret,Cadd9 | G | Em7 | D/F#,Strumming/Legato
Bayker Blankenship,Tennesee Sunset,https://danielchaveztutorials.com/tabs/tennessee-sunset,Standard,2nd Fret,G | D | Am | C,Strumming/Legato
Bayside,Landing Feet First,https://danielchaveztutorials.com/tabs/landing-feet-first,Whole Step Down,,Power Chords,Picking/Strumming/Power Chords
Billy Currington,Good Directions,https://danielchaveztutorials.com/tabs/good-directions,Standard,3rd Fret,D | F#m | G | A | Bm | D/C#,Strumming
Blake Whiten,Breakin' My Heart,https://danielchaveztutorials.com/tabs/breakin-my-heart,Standard,N/A,Am | E | G | F | C/B | C | Csus2,Picking/Strumming
Blake Whiten,Rollin' Stone,https://danielchaveztutorials.com/tabs/rollin-stone,Standard,3rd Fret,Cadd9 | G | Em7 | Dsus,Strumming
Brett Young,In Case You Didn't Know,https://danielchaveztutorials.com/tabs/in-case-you-didnt-know,Standard,3rd Fret,G | D/F# | Cadd9 | Am | G/C | D | Em7 | Dsus4,Strumming
Buffalo Traffic Jam,Fool's Gold,https://danielchaveztutorials.com/tabs/fools-gold,Standard,4th Fret,Cmaj7 | G | G/F# | Em,Strumming
